Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,DiscardsFate,DetritusFate,Land_Trawl,Land_Cod.pots,Land_Longline,Land_Crab.pots,Land_State.fisheries,Disc_Trawl,Disc_Cod.pots,Disc_Longline,Disc_Crab.pots,Disc_State.fisheries
Toothed.mammals,0,0.22877,0.06532,20.18972,,,0,0.2,,0,1,0,0,0,0,0.00018826,1.66889E-05,3.29E-08,1.7272E-06,0,1.88E-07
Baleen.whales,0,0.5406,0.0302,6.80427,,,0,0.2,,0,1,0,0,0,0,0.000000183,1.90957E-05,0,0.00E+00,0,2.00E-10
Birds,0,0.01231,0.15142,79.62923,,,0,0.2,,0,1,8.1E-09,0.00E+00,2.17E-08,0.00E+00,0,1.8181E-06,9.22E-08,4.58159E-05,0,0.00E+00
Apex.fish,0,2.92888,0.26211,2.03229,,,0,0.2,,0.01956744,0.9804326,0.003820884,6.16384E-05,7.93E-03,0,0,0.01723397,0.000456537,0.02580004,0,0
Pollock,0,22.97889,0.8209,4.19342,,,0,0.2,,0.02,0.98,0.4037377,0.000000015,0.00044468,0,0,2.098998,1.01328E-05,0.005915234,0,0
P.cod,0,2.65092,0.50801,2.73935,,,0,0.2,,0.02,0.98,0.1135761,0.009141736,0.1013533,0,0,0.08754566,0.008973588,0.1018086,0,0
Forage.fish,0,,0.9636,4.36332,0.8,,0,0.2,,0.02,0.98,0.002555424,1.071E-07,2.49E-07,0,0.1906739,0.01179856,8.08361E-05,0.000301368,0.00E+00,0.000192685
Arrowtooth,0,1.00702,0.18414,1.19269,,,0,0.2,,0.02,0.98,0.004770957,5.566E-07,0.001111713,0,0,0.02607072,3.7803E-06,0.004094932,0,0
P.halibut,0,0.22376,0.20841,1.16836,,,0,0.2,,0.02,0.98,0,0,8.05E-03,0.00E+00,0,0.0103564,6.5349E-06,0.001063141,0,0
Sm.flatfish,0,11.31311,0.2096,1.32542,,,0,0.2,,0.02,0.98,0.192506,2.119E-07,3.89E-05,0,0,0.2220563,2.74014E-05,0.000690776,0,0.00E+00
Epifauna,0,2.37153,0.4,2,,,0,0.2,,0.02,0.98,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0
Rockfish,0,0.22564,0.10102,1.96933,,,0,0.2,,0.02,0.98,0.01031867,1.06E-06,0.000308491,0,0,0.002653933,1.6985E-06,0.000168194,0,0.00E+00
Benthos,0,120.7099,2.70377,13.51884,,,0,0.3,,1.74824E-05,0.9999825,5.07518E-05,1.57E-07,4.119E-07,0.000345577,0,0.008842658,3.06348E-05,0.000554103,3.456E-07,0.00E+00
Comm.crabs,0,2.93908,1.29787,3.12001,,,0,0.2,,0,1,0,0,0,0.3669189,0,0.008816157,0.000350792,4.12112E-05,0.000366919,0
Pred.zoop,0,,3.07999,9.15346,0.8,,0,0.2,,0,1,0.003364976,2.45E-08,0.00E+00,0,0,0.01524813,6.8322E-06,1.82764E-05,0,0
Copepods,0,,6,27.74,0.8,,0,0.2,,0,1,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0
Pel.microbes,0,,36.5,,0.2571347,0.35,0,0.25,,0,1,0,0,0.00E+00,0,0,0,0,0,0,0
Ben.microbes,0,,36.5,,0.8,0.35,0,0.25,,0,1,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0
Lg.phytoplanton,1,,87.41065,,0.8,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0
Sm.phytoplankton,1,,100.8128,,0.8,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0
Discards,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,2,,0.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trawl,3,,,,,,,,,1,0,,,,,,,,,,
Cod.pots,3,,,,,,,,,1,0,,,,,,,,,,
Longline,3,,,,,,,,,1,0,,,,,,,,,,
Crab.pots,3,,,,,,,,,1,0,,,,,,,,,,
State.fisheries,3,,,,,,,,,1,0,,,,,,,,,,
