DIETS,Toothed.mammals,Baleen.whales,Birds,Apex.fish,Pollock,P.cod,Forage.fish,Arrowtooth,P.halibut,Sm.flatfish,Epifauna,Rockfish,Benthos,Comm.crabs,Pred.zoop,Copepods,Pel.microbes,Ben.microbes,Lg.phytoplanton,Sm.phytoplankton
Toothed.mammals,4.23E-04,,,,,,,,,,,,,,,,,,,
Baleen.whales,0.000290644,,,,,,,,,,,,,,,,,,,
Birds,,,5.80E-05,,,,,,,,,,,,,,,,,
Apex.fish,0.01595277,,,0.01032913,0.000346118,0.006301173,,6.83E-05,7.43E-03,0.000105151,,0.002760602,,,,,,,,
Pollock,0.1857103,0.07297751,0.1956497,0.1641365,0.08240532,0.2243627,,0.6562666,0.5042164,0.03047612,0.00395613,,,,2.60E-06,,,,,
P.cod,0.008137694,,0.1209151,0.00183198,0.000594541,0.00446721,,3.39E-06,4.42E-02,3.22E-05,,,5.61E-05,,,,,,,
Forage.fish,0.2979933,0.1299079,0.4085035,0.2422445,0.007298989,0.03816599,0.04245055,0.0622522,0.0952815,0.04306998,0.01406105,0.03823457,6.95E-05,,2.34E-05,,,,,
Arrowtooth,8.69E-05,,,0.009494387,5.10E-04,0.000608667,,3.13E-03,8.36E-04,0.000000389,,,,,,,,,,
P.halibut,0.000021387,,,0.001063593,2.76E-06,0.000776201,,0.000019128,3.99E-05,5.50E-05,,,,,,,,,,
Sm.flatfish,0.0351465,,,0.03065108,0.000164344,0.02012908,3.93E-04,0.01088789,0.1024152,0.000488947,7.38E-06,,1.35E-05,,,,,,,
Epifauna,0.02909799,,,0.0319207,0.000426192,0.03098069,,0.04202837,0.008646267,0.001878417,0.01845699,,,,,,,,,
Rockfish,0.000687477,,0.000959948,6.00E-10,,8.69E-05,,,,,,,,,,,,,,
Benthos,0.4008293,0.0782421,0.01159628,0.1746266,0.04890598,0.2614838,0.004936406,0.01194528,0.07937986,0.7260042,0.8532043,0.01142144,0.08073807,0.8468813,0.04813736,,,,,
Comm.crabs,0.002335581,0.00022645,1.86E-05,0.03370981,0.000117625,0.1022677,8.70E-05,6.65E-05,0.05768482,0.006676866,0.09401897,1.17E-05,0.000140892,,,,,,,
Pred.zoop,0.02328756,0.5301566,1.15E-01,0.2599716,0.4665862,0.2527867,0.8322794,0.1698202,0.08355538,0.1809128,0.0150166,0.7957606,0.000864412,0.003507989,0.03307641,,,,,
Copepods,,0.1884895,0.1468085,0.00029223,0.3857745,0.001424687,1.20E-01,1.83E-05,,0.00054752,,0.1518111,2.60E-05,,0.2196537,,,,,
Pel.microbes,,,,,1.93E-06,8.57E-06,,,,0.000224104,0.00065419,,5.07E-07,,0.1316881,0.5,,,,
Ben.microbes,,,,,,,,,,,,,0.3947535,,,,,,,
Lg.phytoplanton,,,,,,1.85E-05,,,1.30E-06,5.60E-09,,,0.00144077,0.005375998,0.4315758,0.25,,,,
Sm.phytoplankton,,,,,,,,,,,,,,,0.08770526,0.25,0.7,,,
Discards,,,8.58E-05,0.03972782,0.006865464,0.0561312,,0.04349504,0.01627322,0.009528337,0.00062444,,,0.01146921,,,,,,
Detritus,,,,,,,,,,,,,0.5218967,0.1327655,0.04813736,,0.3,1,,
Import,,,,,,,,,,,,,,,,,,,0,0
