DIETS,Apex predators,Baleen whales,Pollock,Cod,Forage fish,Arrowtooth,Benthos,Pred Zoop,Copepods,Microbes,Phytoplankton
Apex predators,0.02130516,0,0,0.000008771,1.99E-06,0.000699844,1.25E-07,0,0,0,0
Baleen whales,0.000198939,0,0,0.00E+00,0,0,0,0,0,0,0
Pollock,0.2217139,0.01330749,0.01730322,0.165236,0.000574883,0.2074975,0.000026959,0.000000906,0,0,0
Cod,0.02183863,0,4.16E-05,4.53E-05,0.000757496,0.005362975,4.69E-06,0,0,0,0
Forage fish,0.3895124,0.2333793,0.06049006,0.09640589,0.04832639,0.4141361,0.000335529,8.15E-06,0,0,0
Arrowtooth,0.03342384,0,0.000791903,0.01129591,7.19E-05,0.005837009,0,0,0,0,0
Benthos,0.2254173,0.1336471,0.2591916,0.6029091,0.03101725,0.1372221,0.1300321,0,0,0,0
Pred Zoop,0.05925207,5.04E-01,0.5702628,0.07453965,0.7922037,0.2278544,0.01796858,0.006954605,0,0,0
Copepods,0.0125006,0.1156043,0.09128769,0.000105551,0.12692,7.09E-05,1.84E-05,0.2499094,0,0,0
Microbes,0,0,0,0,6.82E-06,0,0.3429922,0.1498913,0.5,0,0
Phytoplankton,1.45E-06,0,0,1.78E-07,0,0.000000064,0.004546697,0.5932357,0.5,0.4397592,0
Discards,1.43E-02,0,0.000631227,2.66E-02,0.000119469,0.001319128,0.000048373,0,0,0,0
Detritus,0.000511051,0,0,0.02280808,0,0,0.5040263,0,0,0.5602408,0
Import,0,0,0,0,0,0,0,0,0,0,0
