Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,DiscardsDetFate,Pelagic DetritusDetFate,Benthic DetritusDetFate,FisheryCatch,FisheryDiscards
Toothed.whales,0,0.06165833,0.04713691,12.43829,,,0,0.2,,0,0.5,0.5,1.29E-07,8.45E-07
Baleen.whales,0,0.5121652,0.03480716,7.185366,,,0,0.2,,0,0.5,5.00E-01,8.57E-08,5.19E-05
Seals.and.otters,0,0.01583883,0.09512402,41.98053,,,0,0.2,,0,0.5,0.5,5.24E-05,2.06E-07
Steller.Sea.Lion,0,0.01762602,0.1466889,32.16409,,,0,0.2,,0,0.5,0.5,3.84E-05,3.84E-06
Birds,0,0.01493701,0.09766163,76.75041,,,0,0.2,,0,0.5,0.5,0,2.03E-05
Sharks,0,0.05224485,0.1,4.986485,,,0,0.2,,0,0.5,0.5,3.18E-06,0.001827489
Dogfish,0,0.09010817,0.1,3,,,0,0.2,,0,0.5,0.5,0.000173667,0.004115132
W.Pollock,0,6.224493,0.6538435,4.109179,,,-1.35,0.2,,0,0.5,0.5,0.0618452,0.281034
P.Cod,0,1.520393,0.5576789,2.39571,,,0,0.2,,0,0.5,0.5,0.1218526,0.1289747
Herring,0,0.8782266,1.093113,4.073614,,,-0.11,0.2,,0,0.5,0.5,0.05048108,0.005080571
Arrowtooth,0,6.313004,0.3152043,1.527438,,,0,0.2,,0,0.5,0.5,0.004052646,0.06402338
P.Halibut,0,1.702214,0.2106199,1.134299,,,0,0.2,,0,0.5,0.5,0.08286703,0.01545379
Sm.Flatfish,0,2.44411,0.2152337,1.93294,,,0,0.2,,0,0.5,0.5,0.04497369,0.02795422
Skates,0,0.191803,0.2,2,,,0,0.2,,0,0.5,0.5,0.003005425,0.01178723
Sablefish,0,0.9374557,0.1992912,1.044573,,,0,0.2,,0,0.5,0.5,0.04073996,0.02143856
Motile.epifauna,0,13.57106,0.9568601,4.764093,,,0,0.2,,0,0.1250877,0.8749123,0.000214695,0.003416674
Grenadiers,0,0.9177952,0.15,2,,,0,0.2,,0,0.5,0.5,0.000255623,0.03737467
Misc.fish.deep,0,0.02136892,0.2,2,,,0,0.2,,0,0.5,0.5,0.000318167,0.000919832
POP,0,0.8466206,0.09707186,2.000433,,,0,0.2,,0,0.5,0.5,0.00736191,0.008404292
Rockfish,0,1.252218,0.1015662,1.920637,,,0,0.2,,0,0.5,0.5,0.03455994,0.02745455
Misc.fish.shallow,0,2.18636,0.4341399,2.963593,,,-0.002,0.2,,0,0.5,0.5,0.01428353,0.001575386
Lg.Sculpins,0,0.08888517,0.4,2,,,0,0.2,,0,0.5,0.5,0.000193433,0.004255149
Squids,0,1.265454,3.2,10.67,,,0,0.2,,0,0.5,0.5,0.000119335,0.000225772
Salmon,0,0.8737665,1.812443,11.87709,,,0,0.2,,0,0.5,0.5,0.29042,0.02977088
Basin.forage,0,0.7085408,0.8,3.65,,,0,0.2,,0,0.5,0.5,0,1.70E-09
Capelin,0,7.02478,0.8,3.65,,,0,0.2,,0,0.5,0.5,0.000169951,2.07E-05
Shelf.forage,0,5.658442,0.8,3.65,,,0,0.2,,0,0.5,0.5,0.000222658,3.41E-05
Bairdi,0,0.6283618,1,3,,,0,0.2,,0,0.1,0.9,0.003508894,0.000181728
King.Crab,0,0.006152222,0.6,3,,,0,0.2,,0,0.1,0.9,7.16E-05,6.90E-06
Pandalidae,0,10.68705,0.576,2.41,,,0,0.2,,0,0.1,0.9,0.000195879,2.40E-06
Benthic.zoop,0,19.8886,3.405338,16.5428,,,0,0.2,,0,0.1114316,0.8885683,3.09E-06,2.40E-06
Structural.epifauna,0,0.5519825,2.134336,10.67168,,,0,0.4,,0,0.1,0.9,3.66E-06,1.26E-04
Infauna,0,21.44306,1.764623,8.823115,,,0,0.4,,0,0.1,0.9,0.000280681,0.00E+00
Jellyfish,0,0.11,0.88,3,,,0,0.2,,0,0.7,0.3,0.000141226,0.000195899
Pred.zoop,0,3.478638,4.319997,12.34285,,,0,0.2,,0,0.7,0.3,0.00E+00,0.00E+00
Euphausiids,0,20.16194,5.475,15.64286,,,0,0.2,,0,0.7,0.3,0,0.00E+00
Copepods,0,21.8635,6,27.74,,,0,0.2,,0,0.7,0.3,0.00E+00,0.00E+00
Pelagic.microbes,0,12.25505,36.5,104.2857,,,0,0.2,,0,0.7,0.3,0.00E+00,0
Benthic.microbes,0,7.252296,36.5,104.2857,,,0,0.2,,0,0.1,0.9,0,0
Lg.Phytoplankton,1,8.737883,150.1681,,,,0,0,,0,0.5,0.5,0,0
Sm.Phytoplankton,1,31.65792,99.17905,,,,0,0,,0,0.4997569,0.5002431,0,0
Discards,2,,0.5,,,,0,0,0,0,0,0,0,0
Pelagic.Detritus,2,,0.5,,,,0,0,0,0,0,0,0,0
Benthic.Detritus,2,,0.5,,,,0,0,0,0,0,0,0,0
Fishery,3,,,,,,,,,1,0,0,,
