Group,B,PB,QB,Diet,Fishery
Toothed.whales,0.8,0.3,0.6,0.8,0.1
Baleen.whales,0.5,0.6,0.6,0.8,0.1
Seals.and.otters,0.5,0.6,0.6,0.7,0.1
Steller.Sea.Lion,0.1,0.4,0.5,0.6,0.1
Birds,0.5,0.6,0.6,0.8,0.5
Sharks,0.5,0.7,0.7,0.8,0.5
Dogfish,0.8,0.7,0.7,0.8,0.5
W.Pollock,0.1,0.4,0.4,0.1,0.1
P.Cod,0.1,0.3,0.3,0.1,0.1
Herring,0.5,0.6,0.6,0.7,0.1
Arrowtooth,0.1,0.3,0.3,0.1,0.1
P.Halibut,0.1,0.3,0.3,0.1,0.1
Sm.Flatfish,0.1,0.6,0.6,0.1,0.1
Skates,0.5,0.7,0.7,0.8,0.5
Sablefish,0.5,0.5,0.5,0.6,0.1
Motile.epifauna,0.8,0.6,0.7,0.8,0
Grenadiers,0.5,0.7,0.7,0.7,0.5
Misc.fish.deep,0.8,0.7,0.7,0.8,0
POP,0.5,0.3,0.3,0.3,0.1
Rockfish,0.5,0.3,0.3,0.3,0.8
Misc.fish.shallow,0.8,0.7,0.7,0.7,0
Lg.Sculpins,0.1,0.7,0.7,0.8,0.8
Squids,0.8,0.7,0.7,0.8,0
Salmon,0.8,0.5,0.5,0.7,0
Basin.forage,0.8,0.7,0.7,0.8,0
Capelin,0.8,0.7,0.7,0.8,0
Shelf.forage,0.8,0.7,0.7,0.8,0
Bairdi,0.8,0.6,0.5,0.8,0
King.Crab,0.5,0.6,0.5,0.8,0
Pandalidae,0.8,0.5,0.5,0.8,0
Benthic.zoop,0.8,0.6,0.7,0.8,0
Structural.epifauna,0.5,0.6,0.7,0.8,0
Infauna,0.8,0.6,0.7,0.8,0
Jellyfish,0.5,0.6,0.6,0.8,0
Pred.zoop,0.8,0.7,0.7,0.8,0
Euphausiids,0.8,0.6,0.6,0.8,0
Copepods,0.8,0.7,0.6,0.8,0
Pelagic.microbes,0.8,0.7,0.7,0.8,0
Benthic.microbes,0.8,0.7,0.7,0.1,0
Lg.Phytoplankton,0.8,0.5,0,0,0
Sm.Phytoplankton,0.8,0.5,0,0,0
Discards,0.8,0,0,0,0
Pelagic.Detritus,0.8,0,0,0,0
Benthic.Detritus,0.8,0,0,0,0
